year,gini_coefficient
2012,0.31279937969073734
2013,0.26683308289224716
2014,0.363422962358922
2015,0.3260768370438052
2016,0.3746711326466792
2017,0.25561313726699164
2018,0.2919352795402972
2019,0.28187365883621873
2020,0.3032551798270491
2021,0.2482873303907558
2022,0.2698553711654572
